PeakID (cmd=annotatePeaks.pl SPT5.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_29	II	47053	47459	+	0	NA	promoter-TSS (YBL091C-A)	protein_coding-promoter-TSS (YBL091C-A)	-76	YBL091C-A	YBL091C-A	YBL091C-A			SCS22			protein_coding
Interval_371	V	68211	68397	+	0	NA	TTS (YEL045C)	protein_coding-TTS (YEL045C)	488	YEL046C	YEL046C	YEL046C			GLY1			protein_coding
Interval_117	III	31173	31358	+	0	NA	promoter-TSS (YCL054W)	protein_coding-promoter-TSS (YCL054W)	-184	YCL054W	YCL054W	YCL054W			SPB1			protein_coding
Interval_951	XIII	472855	473351	+	0	NA	promoter-TSS (YMR102C)	protein_coding-promoter-TSS (YMR102C)	161	YMR103C	YMR103C	YMR103C			YMR103C			protein_coding
Interval_1165	XV	987290	989638	+	0	NA	exon (YOR348C, exon 1 of 1)	protein_coding-exon (YOR348C, exon 1 of 1)	318	YOR348C	YOR348C	YOR348C			PUT4			protein_coding
Interval_974	XIII	751389	751610	+	0	NA	promoter-TSS (YMR240C)	protein_coding-promoter-TSS (YMR240C)	-259	YMR240C	YMR240C	YMR240C			CUS1			protein_coding
Interval_992	XIII	904349	904602	+	0	NA	promoter-TSS (YMR316W)	protein_coding-promoter-TSS (YMR316W)	189	YMR315W-A	YMR315W-A	YMR315W-A			YMR315W-A			protein_coding
Interval_1271	XVI	900311	900493	+	0	NA	promoter-TSS (YPR181C)	protein_coding-promoter-TSS (YPR181C)	208	YPR182W	YPR182W	YPR182W			SMX3			protein_coding
Interval_783	XI	578311	579092	+	0	NA	promoter-TSS (YKR072C)	protein_coding-promoter-TSS (YKR072C)	-194	YKR073C	YKR073C	YKR073C			YKR073C			protein_coding
Interval_1266	XVI	856860	857249	+	0	NA	promoter-TSS (YPR158C-C)	protein_coding-promoter-TSS (YPR158C-C)	152	tA(AGC)P	tA(AGC)P	tA(AGC)P			tA(AGC)P			tRNA
Interval_3	I	20762	21069	+	0	NA	promoter-TSS (YAL064W)	protein_coding-promoter-TSS (YAL064W)	-651	YAL064W	YAL064W	YAL064W			YAL064W			protein_coding
Interval_1104	XV	349303	349528	+	0	NA	promoter-TSS (YOR011W)	protein_coding-promoter-TSS (YOR011W)	-264	YOR011W	YOR011W	YOR011W			AUS1			protein_coding
Interval_967	XIII	628002	628289	+	0	NA	promoter-TSS (YMR183C)	protein_coding-promoter-TSS (YMR183C)	-44	YMR184W	YMR184W	YMR184W			ADD37			protein_coding
Interval_630	VIII	497384	497648	+	0	NA	promoter-TSS (YHR198C)	protein_coding-promoter-TSS (YHR198C)	-236	YHR198C	YHR198C	YHR198C			AIM18			protein_coding
Interval_1095	XV	231994	232719	+	0	NA	promoter-TSS (YOL052C-A)	protein_coding-promoter-TSS (YOL052C-A)	-601	YOL052C-A	YOL052C-A	YOL052C-A			DDR2			protein_coding
Interval_940	XIII	352744	353554	+	0	NA	promoter-TSS (YMR043W)	protein_coding-promoter-TSS (YMR043W)	546	YMR042W	YMR042W	YMR042W			ARG80			protein_coding
Interval_308	IX	99536	99861	+	0	NA	promoter-TSS (YIL133C)	protein_coding-promoter-TSS (YIL133C)	-282	YIL133C	YIL133C	YIL133C			RPL16A			protein_coding
Interval_99	II	642683	643058	+	0	NA	promoter-TSS (YBR208C)	protein_coding-promoter-TSS (YBR208C)	208	tC(GCA)B	tC(GCA)B	tC(GCA)B			tC(GCA)B			tRNA
Interval_386	V	194661	195020	+	0	NA	promoter-TSS (YER019C-A)	protein_coding-promoter-TSS (YER019C-A)	-301	YER019C-A	YER019C-A	YER019C-A			SBH2			protein_coding
Interval_453	VI	183053	184373	+	0	NA	promoter-TSS (YFR017C)	protein_coding-promoter-TSS (YFR017C)	509	YFR018C	YFR018C	YFR018C			YFR018C			protein_coding
Interval_251	IV	1080409	1080797	+	0	NA	promoter-TSS (YDR309C)	protein_coding-promoter-TSS (YDR309C)	-404	YDR309C	YDR309C	YDR309C			GIC2			protein_coding
Interval_1185	XVI	96415	96772	+	0	NA	promoter-TSS (YPL241C)	protein_coding-promoter-TSS (YPL241C)	-335	YPL241C	YPL241C	YPL241C			CIN2			protein_coding
Interval_274	IV	1345371	1345638	+	0	NA	promoter-TSS (YDR441C)	protein_coding-promoter-TSS (YDR441C)	-143	YDR442W	YDR442W	YDR442W			YDR442W			protein_coding
Interval_170	IV	245476	245749	+	0	NA	promoter-TSS (YDL120W)	protein_coding-promoter-TSS (YDL120W)	-30	YDL121C	YDL121C	YDL121C			YDL121C			protein_coding
Interval_557	VII	904732	905817	+	0	NA	promoter-TSS (YGR202C)	protein_coding-promoter-TSS (YGR202C)	37	YGR203W	YGR203W	YGR203W			YCH1			protein_coding
Interval_737	XI	140941	141399	+	0	NA	promoter-TSS (YKL165C)	protein_coding-promoter-TSS (YKL165C)	-81	tE(UUC)K	tE(UUC)K	tE(UUC)K			tE(UUC)K			tRNA
Interval_292	IV	1476598	1476914	+	0	NA	promoter-TSS (YDR516C)	protein_coding-promoter-TSS (YDR516C)	-280	YDR516C	YDR516C	YDR516C			EMI2			protein_coding
Interval_1008	XIV	137958	138416	+	0	NA	promoter-TSS (YNL268W)	protein_coding-promoter-TSS (YNL268W)	-363	YNL268W	YNL268W	YNL268W			LYP1			protein_coding
Interval_319	IX	169737	170178	+	0	NA	promoter-TSS (YIL105C)	protein_coding-promoter-TSS (YIL105C)	-316	YIL105C	YIL105C	YIL105C			SLM1			protein_coding
Interval_561	VII	922010	922256	+	0	NA	promoter-TSS (YGR215W)	protein_coding-promoter-TSS (YGR215W)	-42	YGR215W	YGR215W	YGR215W			RSM27			protein_coding
Interval_1040	XIV	483169	483505	+	0	NA	promoter-TSS (YNL076W)	protein_coding-promoter-TSS (YNL076W)	-219	YNL076W	YNL076W	YNL076W			MKS1			protein_coding
Interval_849	XII	645301	646206	+	0	NA	promoter-TSS (YLR254C)	protein_coding-promoter-TSS (YLR254C)	200	YLR255C	YLR255C	YLR255C			YLR255C			protein_coding
Interval_703	X	598434	598626	+	0	NA	promoter-TSS (YJR091C)	protein_coding-promoter-TSS (YJR091C)	-194	YJR091C	YJR091C	YJR091C			JSN1			protein_coding
Interval_267	IV	1251757	1251924	+	0	NA	promoter-TSS (YDR389W)	protein_coding-promoter-TSS (YDR389W)	-697	YDR389W	YDR389W	YDR389W			SAC7			protein_coding
Interval_47	II	227171	227445	+	0	NA	promoter-TSS (YBL004W)	protein_coding-promoter-TSS (YBL004W)	233	tS(AGA)B	tS(AGA)B	tS(AGA)B			tS(AGA)B			tRNA
Interval_1039	XIV	479319	479853	+	0	NA	promoter-TSS (YNL078W)	protein_coding-promoter-TSS (YNL078W)	-182	YNL078W	YNL078W	YNL078W			NIS1			protein_coding
Interval_439	VI	4241	5557	+	0	NA	promoter-TSS (YFL063W)	protein_coding-promoter-TSS (YFL063W)	-167	YFL063W	YFL063W	YFL063W			YFL063W			protein_coding
Interval_518	VII	561712	561909	+	0	NA	promoter-TSS (tS(AGA)G)	tRNA-promoter-TSS (tS(AGA)G)	-67	tS(AGA)G	tS(AGA)G	tS(AGA)G			tS(AGA)G			tRNA
Interval_1093	XV	216264	216883	+	0	NA	promoter-TSS (YOL059W)	protein_coding-promoter-TSS (YOL059W)	-436	YOL060C	YOL060C	YOL060C			MAM3			protein_coding
Interval_663	X	195368	196148	+	0	NA	promoter-TSS (YJL115W)	protein_coding-promoter-TSS (YJL115W)	-529	YJL115W	YJL115W	YJL115W			ASF1			protein_coding
Interval_889	XII	949572	949855	+	0	NA	TTS (YLR412C-A)	protein_coding-TTS (YLR412C-A)	760	YLR412C-A	YLR412C-A	YLR412C-A			YLR412C-A			protein_coding
Interval_1012	XIV	273830	274372	+	0	NA	promoter-TSS (YNL193W)	protein_coding-promoter-TSS (YNL193W)	-267	YNL193W	YNL193W	YNL193W			YNL193W			protein_coding
Interval_798	XII	54090	54645	+	0	NA	promoter-TSS (YLL041C)	protein_coding-promoter-TSS (YLL041C)	-436	YLL041C	YLL041C	YLL041C			SDH2			protein_coding
Interval_1021	XIV	340178	340408	+	0	NA	promoter-TSS (YNL157W)	protein_coding-promoter-TSS (YNL157W)	-59	YNL157W	YNL157W	YNL157W			IGO1			protein_coding
Interval_509	VII	515924	516595	+	0	NA	promoter-TSS (YGR014W)	protein_coding-promoter-TSS (YGR014W)	-684	YGR014W	YGR014W	YGR014W			MSB2			protein_coding
Interval_104	II	681848	682303	+	0	NA	promoter-TSS (LSR1)	snRNA-promoter-TSS (LSR1)	-213	LSR1	LSR1	LSR1			LSR1			snRNA
Interval_200	IV	519614	519828	+	0	NA	promoter-TSS (YDR034C-C)	protein_coding-promoter-TSS (YDR034C-C)	-22	tL(UAA)D	tL(UAA)D	tL(UAA)D			tL(UAA)D			tRNA
Interval_346	IX	383813	384731	+	0	NA	promoter-TSS (YIR017C)	protein_coding-promoter-TSS (YIR017C)	-153	YIR017C	YIR017C	YIR017C			MET28			protein_coding
Interval_156	IV	130264	130803	+	0	NA	promoter-TSS (YDL184C)	protein_coding-promoter-TSS (YDL184C)	-49	YDL184C	YDL184C	YDL184C			RPL41A			protein_coding
Interval_626	VIII	451657	453437	+	0	NA	promoter-TSS (YHR175W)	protein_coding-promoter-TSS (YHR175W)	-325	YHR175W	YHR175W	YHR175W			CTR2			protein_coding
Interval_1183	XVI	74932	75548	+	0	NA	promoter-TSS (YPL250C)	protein_coding-promoter-TSS (YPL250C)	-462	YPL250W-A	YPL250W-A	YPL250W-A			YPL250W-A			protein_coding
Interval_816	XII	329151	329592	+	0	NA	promoter-TSS (YLR094C)	protein_coding-promoter-TSS (YLR094C)	-133	YLR094C	YLR094C	YLR094C			GIS3			protein_coding
Interval_393	V	261268	261830	+	0	NA	promoter-TSS (YER053C-A)	protein_coding-promoter-TSS (YER053C-A)	-503	YER053C-A	YER053C-A	YER053C-A			YER053C-A			protein_coding
Interval_980	XIII	773677	774709	+	0	NA	promoter-TSS (YMR251W-A)	protein_coding-promoter-TSS (YMR251W-A)	-559	YMR251W-A	YMR251W-A	YMR251W-A			HOR7			protein_coding
Interval_1259	XVI	789653	789835	+	0	NA	promoter-TSS (YPR126C)	protein_coding-promoter-TSS (YPR126C)	-339	YPR127W	YPR127W	YPR127W			YPR127W			protein_coding
Interval_183	IV	385860	387079	+	0	NA	promoter-TSS (YDL037C)	protein_coding-promoter-TSS (YDL037C)	-882	YDL037C	YDL037C	YDL037C			BSC1			protein_coding
Interval_446	VI	82111	82430	+	0	NA	promoter-TSS (YFL026W)	protein_coding-promoter-TSS (YFL026W)	-310	YFL026W	YFL026W	YFL026W			STE2			protein_coding
Interval_95	II	614117	615289	+	0	NA	promoter-TSS (YBR196C)	protein_coding-promoter-TSS (YBR196C)	-73	YBR196C-B	YBR196C-B	YBR196C-B			YBR196C-B			protein_coding
Interval_820	XII	388471	388933	+	0	NA	promoter-TSS (YLR120C)	protein_coding-promoter-TSS (YLR120C)	30	YLR120W-A	YLR120W-A	YLR120W-A			YLR120W-A			protein_coding
Interval_610	VIII	316076	316331	+	0	NA	promoter-TSS (YHR101C)	protein_coding-promoter-TSS (YHR101C)	-235	YHR101C	YHR101C	YHR101C			BIG1			protein_coding
Interval_493	VII	383352	383538	+	0	NA	promoter-TSS (YGL063W)	protein_coding-promoter-TSS (YGL063W)	-209	YGL063W	YGL063W	YGL063W			PUS2			protein_coding
Interval_37	II	140407	141186	+	0	NA	promoter-TSS (YBL041W)	protein_coding-promoter-TSS (YBL041W)	-451	YBL041W	YBL041W	YBL041W			PRE7			protein_coding
Interval_291	IV	1470669	1470956	+	0	NA	promoter-TSS (YDR513W)	protein_coding-promoter-TSS (YDR513W)	-205	YDR513W	YDR513W	YDR513W			GRX2			protein_coding
Interval_339	IX	325654	326041	+	0	NA	promoter-TSS (YIL014C-A)	protein_coding-promoter-TSS (YIL014C-A)	99	tT(AGU)I2	tT(AGU)I2	tT(AGU)I2			tT(AGU)I2			tRNA
Interval_597	VIII	174752	175422	+	0	NA	promoter-TSS (YHR032W-A)	protein_coding-promoter-TSS (YHR032W-A)	-108	YHR032W-A	YHR032W-A	YHR032W-A			YHR032W-A			protein_coding
Interval_252	IV	1086929	1087456	+	0	NA	promoter-TSS (YDR312W)	protein_coding-promoter-TSS (YDR312W)	-389	YDR312W	YDR312W	YDR312W			SSF2			protein_coding
Interval_929	XIII	271493	272117	+	0	NA	promoter-TSS (YMR001C)	protein_coding-promoter-TSS (YMR001C)	-228	YMR001C-A	YMR001C-A	YMR001C-A			YMR001C-A			protein_coding
Interval_86	II	554619	556182	+	0	NA	Intergenic	Intergenic	-1090	YBR157C	YBR157C	YBR157C			ICS2			protein_coding
Interval_744	XI	173814	174444	+	0	NA	promoter-TSS (YKL145W)	protein_coding-promoter-TSS (YKL145W)	-84	YKL145W	YKL145W	YKL145W			RPT1			protein_coding
Interval_717	X	715444	716108	+	0	NA	promoter-TSS (YJR151C)	protein_coding-promoter-TSS (YJR151C)	-36	YJR151C	YJR151C	YJR151C			DAN4			protein_coding
Interval_562	VII	931012	931241	+	0	NA	promoter-TSS (tG(GCC)G2)	tRNA-promoter-TSS (tG(GCC)G2)	-103	tG(GCC)G2	tG(GCC)G2	tG(GCC)G2			tG(GCC)G2			tRNA
Interval_973	XIII	683869	684306	+	0	NA	promoter-TSS (YMR207C)	protein_coding-promoter-TSS (YMR207C)	-380	YMR208W	YMR208W	YMR208W			ERG12			protein_coding
Interval_1179	XVI	24582	24892	+	0	NA	promoter-TSS (YPL273W)	protein_coding-promoter-TSS (YPL273W)	-350	YPL273W	YPL273W	YPL273W			SAM4			protein_coding
Interval_419	V	409260	409535	+	0	NA	promoter-TSS (YER124C)	protein_coding-promoter-TSS (YER124C)	-334	YER124C	YER124C	YER124C			DSE1			protein_coding
Interval_575	VII	1052096	1052644	+	0	NA	promoter-TSS (YGR280C)	protein_coding-promoter-TSS (YGR280C)	-454	YGR281W	YGR281W	YGR281W			YOR1			protein_coding
Interval_1022	XIV	349799	350768	+	0	NA	promoter-TSS (YNL147W)	protein_coding-promoter-TSS (YNL147W)	388	YNL148C	YNL148C	YNL148C			ALF1			protein_coding
Interval_784	XI	581060	582094	+	0	NA	promoter-TSS (YKR075C)	protein_coding-promoter-TSS (YKR075C)	-706	YKR076W	YKR076W	YKR076W			ECM4			protein_coding
Interval_758	XI	326490	328412	+	0	NA	promoter-TSS (YKL060C)	protein_coding-promoter-TSS (YKL060C)	36	YKL060C	YKL060C	YKL060C			FBA1			protein_coding
Interval_538	VII	733193	733742	+	0	NA	promoter-TSS (YGR121C)	protein_coding-promoter-TSS (YGR121C)	55	YGR121W-A	YGR121W-A	YGR121W-A			YGR121W-A			protein_coding
Interval_836	XII	523525	523763	+	0	NA	promoter-TSS (YLR186W)	protein_coding-promoter-TSS (YLR186W)	12	YLR186W	YLR186W	YLR186W			EMG1			protein_coding
Interval_1011	XIV	239935	240313	+	0	NA	promoter-TSS (YNL217W)	protein_coding-promoter-TSS (YNL217W)	-207	YNL217W	YNL217W	YNL217W			YNL217W			protein_coding
Interval_725	XI	67562	69195	+	0	NA	promoter-TSS (YKL201C)	protein_coding-promoter-TSS (YKL201C)	-912	YKL201C	YKL201C	YKL201C			MNN4			protein_coding
Interval_196	IV	491108	491378	+	0	NA	promoter-TSS (YDR025W)	protein_coding-promoter-TSS (YDR025W)	226	YDR024W	YDR024W	YDR024W			FYV1			protein_coding
Interval_408	V	311949	312179	+	0	NA	promoter-TSS (YER075C)	protein_coding-promoter-TSS (YER075C)	31	tA(UGC)E	tA(UGC)E	tA(UGC)E			tA(UGC)E			tRNA
Interval_486	VII	287292	287516	+	0	NA	promoter-TSS (tW(CCA)G1)	tRNA-promoter-TSS (tW(CCA)G1)	51	tW(CCA)G1	tW(CCA)G1	tW(CCA)G1			tW(CCA)G1			tRNA
Interval_143	III	262723	262932	+	0	NA	promoter-TSS (YCR084C)	protein_coding-promoter-TSS (YCR084C)	-89	YCR085W	YCR085W	YCR085W			YCR085W			protein_coding
Interval_353	MT	14073	14443	+	0	NA	exon (Q0050, exon 1 of 1)	protein_coding-exon (Q0050, exon 1 of 1)	440	Q0065	Q0065	Q0065			AI4			protein_coding
Interval_1152	XV	881875	882476	+	0	NA	promoter-TSS (YOR302W)	protein_coding-promoter-TSS (YOR302W)	-590	YOR302W	YOR302W	YOR302W			YOR302W			protein_coding
Interval_273	IV	1305556	1305784	+	0	NA	promoter-TSS (YDR420W)	protein_coding-promoter-TSS (YDR420W)	40	tS(AGA)D3	tS(AGA)D3	tS(AGA)D3			tS(AGA)D3			tRNA
Interval_1205	XVI	280097	280384	+	0	NA	promoter-TSS (YPL144W)	protein_coding-promoter-TSS (YPL144W)	-240	YPL144W	YPL144W	YPL144W			POC4			protein_coding
Interval_756	XI	308759	309044	+	0	NA	promoter-TSS (YKL068W-A)	protein_coding-promoter-TSS (YKL068W-A)	-305	YKL068W-A	YKL068W-A	YKL068W-A			YKL068W-A			protein_coding
Interval_1106	XV	382975	383351	+	0	NA	TTS (YOR027W)	protein_coding-TTS (YOR027W)	1257	YOR028C	YOR028C	YOR028C			CIN5			protein_coding
Interval_536	VII	709147	709411	+	0	NA	TTS (YGR109W-A)	protein_coding-TTS (YGR109W-A)	1669	YGR109W-A	YGR109W-A	YGR109W-A			YGR109W-A			protein_coding
Interval_704	X	609025	609276	+	0	NA	promoter-TSS (YJR095W)	protein_coding-promoter-TSS (YJR095W)	-623	YJR095W	YJR095W	YJR095W			SFC1			protein_coding
Interval_4	I	29802	29980	+	0	NA	Intergenic	Intergenic	-1676	YAL062W	YAL062W	YAL062W			GDH3			protein_coding
Interval_1030	XIV	412355	412702	+	0	NA	promoter-TSS (YNL113W)	protein_coding-promoter-TSS (YNL113W)	-243	YNL113W	YNL113W	YNL113W			RPC19			protein_coding
Interval_1264	XVI	840190	840984	+	0	NA	promoter-TSS (YPR156C)	protein_coding-promoter-TSS (YPR156C)	-679	YPR157W	YPR157W	YPR157W			TDA6			protein_coding
Interval_695	X	524018	524661	+	0	NA	promoter-TSS (tS(AGA)J)	tRNA-promoter-TSS (tS(AGA)J)	-246	tS(AGA)J	tS(AGA)J	tS(AGA)J			tS(AGA)J			tRNA
Interval_875	XII	828072	828678	+	0	NA	promoter-TSS (YLR348C)	protein_coding-promoter-TSS (YLR348C)	-355	YLR350W	YLR350W	YLR350W			ORM2			protein_coding
Interval_838	XII	553356	553932	+	0	NA	promoter-TSS (YLR205C)	protein_coding-promoter-TSS (YLR205C)	33	YLR205C	YLR205C	YLR205C			HMX1			protein_coding
Interval_1267	XVI	860308	860792	+	0	NA	promoter-TSS (YPR159C-A)	protein_coding-promoter-TSS (YPR159C-A)	-135	YPR159C-A	YPR159C-A	YPR159C-A			YPR159C-A			protein_coding
Interval_454	VI	204700	205165	+	0	NA	promoter-TSS (YFR025C)	protein_coding-promoter-TSS (YFR025C)	64	tA(AGC)F	tA(AGC)F	tA(AGC)F			tA(AGC)F			tRNA
Interval_365	V	13144	13520	+	0	NA	promoter-TSS (YEL072W)	protein_coding-promoter-TSS (YEL072W)	-388	YEL072W	YEL072W	YEL072W			RMD6			protein_coding
Interval_406	V	305929	306255	+	0	NA	promoter-TSS (YER074W)	protein_coding-promoter-TSS (YER074W)	-231	YER074W	YER074W	YER074W			RPS24A			protein_coding
Interval_488	VII	323684	324078	+	0	NA	TTS (YGL097W)	protein_coding-TTS (YGL097W)	-1450	YGL096W	YGL096W	YGL096W			TOS8			protein_coding
Interval_198	IV	507333	507601	+	0	NA	promoter-TSS (YDR033W)	protein_coding-promoter-TSS (YDR033W)	-680	YDR033W	YDR033W	YDR033W			MRH1			protein_coding
Interval_471	VII	121905	122579	+	0	NA	promoter-TSS (tK(CUU)G1)	tRNA-promoter-TSS (tK(CUU)G1)	-27	tK(CUU)G1	tK(CUU)G1	tK(CUU)G1			tK(CUU)G1			tRNA
Interval_862	XII	737644	738172	+	0	NA	promoter-TSS (YLR304C)	protein_coding-promoter-TSS (YLR304C)	-360	YLR304C	YLR304C	YLR304C			ACO1			protein_coding
Interval_56	II	332492	332717	+	0	NA	promoter-TSS (YBR048W)	protein_coding-promoter-TSS (YBR048W)	-227	YBR048W	YBR048W	YBR048W			RPS11B			protein_coding
Interval_1272	XVI	901624	901881	+	0	NA	promoter-TSS (YPR184W)	protein_coding-promoter-TSS (YPR184W)	-292	YPR184W	YPR184W	YPR184W			GDB1			protein_coding
Interval_137	III	223323	223812	+	0	NA	promoter-TSS (YCR057C)	protein_coding-promoter-TSS (YCR057C)	-339	YCR057C	YCR057C	YCR057C			PWP2			protein_coding
Interval_770	XI	408193	408373	+	0	NA	promoter-TSS (YKL015W)	protein_coding-promoter-TSS (YKL015W)	-261	YKL015W	YKL015W	YKL015W			PUT3			protein_coding
Interval_394	V	264151	264619	+	0	NA	promoter-TSS (YER054C)	protein_coding-promoter-TSS (YER054C)	-687	YER054C	YER054C	YER054C			GIP2			protein_coding
Interval_1203	XVI	256955	257338	+	0	NA	promoter-TSS (YPL156C)	protein_coding-promoter-TSS (YPL156C)	-379	YPL156C	YPL156C	YPL156C			PRM4			protein_coding
Interval_897	XII	1028091	1028888	+	0	NA	promoter-TSS (YLR447C)	protein_coding-promoter-TSS (YLR447C)	-365	YLR448W	YLR448W	YLR448W			RPL6B			protein_coding
Interval_372	V	68584	70353	+	0	NA	promoter-TSS (YEL044W)	protein_coding-promoter-TSS (YEL044W)	-203	YEL045C	YEL045C	YEL045C			YEL045C			protein_coding
Interval_448	VI	95148	95966	+	0	NA	promoter-TSS (YFL021W)	protein_coding-promoter-TSS (YFL021W)	-409	YFL021W	YFL021W	YFL021W			GAT1			protein_coding
Interval_25	II	8287	8492	+	0	NA	promoter-TSS (YBL107W-A)	protein_coding-promoter-TSS (YBL107W-A)	212	YBL108W	YBL108W	YBL108W			YBL108W			protein_coding
Interval_103	II	680104	681135	+	0	NA	promoter-TSS (YBR230C)	protein_coding-promoter-TSS (YBR230C)	257	YBR230W-A	YBR230W-A	YBR230W-A			YBR230W-A			protein_coding
Interval_991	XIII	903948	904267	+	0	NA	promoter-TSS (YMR315W-A)	protein_coding-promoter-TSS (YMR315W-A)	-179	YMR315W-A	YMR315W-A	YMR315W-A			YMR315W-A			protein_coding
Interval_520	VII	581660	581849	+	0	NA	promoter-TSS (YGR043C)	protein_coding-promoter-TSS (YGR043C)	-318	YGR043C	YGR043C	YGR043C			NQM1			protein_coding
Interval_677	X	314276	314594	+	0	NA	promoter-TSS (YJL064W)	protein_coding-promoter-TSS (YJL064W)	351	YJL067W	YJL067W	YJL067W			YJL067W			protein_coding
Interval_1049	XIV	518825	519208	+	0	NA	promoter-TSS (YNL054W-A)	protein_coding-promoter-TSS (YNL054W-A)	153	tD(GUC)N	tD(GUC)N	tD(GUC)N			tD(GUC)N			tRNA
Interval_952	XIII	477740	478202	+	0	NA	promoter-TSS (YMR105C)	protein_coding-promoter-TSS (YMR105C)	-93	YMR105W-A	YMR105W-A	YMR105W-A			YMR105W-A			protein_coding
Interval_229	IV	867700	868018	+	0	NA	promoter-TSS (YDR207C)	protein_coding-promoter-TSS (YDR207C)	-337	YDR207C	YDR207C	YDR207C			UME6			protein_coding
Interval_664	X	204756	205211	+	0	NA	promoter-TSS (YJL112W)	protein_coding-promoter-TSS (YJL112W)	248	tD(GUC)J1	tD(GUC)J1	tD(GUC)J1			tD(GUC)J1			tRNA
Interval_437	V	546642	547390	+	0	NA	TTS (YER177W)	protein_coding-TTS (YER177W)	199	YER178W	YER178W	YER178W			PDA1			protein_coding
Interval_1237	XVI	581472	582188	+	0	NA	promoter-TSS (YPR010C)	protein_coding-promoter-TSS (YPR010C)	-232	tK(CUU)P	tK(CUU)P	tK(CUU)P			tK(CUU)P			tRNA
Interval_1002	XIV	88942	90087	+	0	NA	promoter-TSS (YNL288W)	protein_coding-promoter-TSS (YNL288W)	304	snR40	snR40	snR40			snR40			snoRNA
Interval_358	MT	36599	36986	+	0	NA	exon (Q0105, exon 1 of 6)	protein_coding-exon (Q0105, exon 1 of 6)	252	Q0120	Q0120	Q0120			BI4			protein_coding
Interval_148	IV	20022	20363	+	0	NA	promoter-TSS (YDL241W)	protein_coding-promoter-TSS (YDL241W)	-443	YDL241W	YDL241W	YDL241W			YDL241W			protein_coding
Interval_887	XII	930714	930974	+	0	NA	TTS (YLR405W)	protein_coding-TTS (YLR405W)	911	YLR406C	YLR406C	YLR406C			RPL31B			protein_coding
Interval_384	V	177117	177673	+	0	NA	promoter-TSS (YER012W)	protein_coding-promoter-TSS (YER012W)	296	tE(UUC)E1	tE(UUC)E1	tE(UUC)E1			tE(UUC)E1			tRNA
Interval_1073	XV	5070	5372	+	0	NA	promoter-TSS (YOL164W)	protein_coding-promoter-TSS (YOL164W)	-954	YOL164W	YOL164W	YOL164W			BDS1			protein_coding
Interval_403	V	295089	295734	+	0	NA	promoter-TSS (YER069W)	protein_coding-promoter-TSS (YER069W)	1	YER069W	YER069W	YER069W			ARG5,6			protein_coding
Interval_1056	XIV	586444	587249	+	0	NA	promoter-TSS (YNL024C-A)	protein_coding-promoter-TSS (YNL024C-A)	-26	YNL024C-A	YNL024C-A	YNL024C-A			KSH1			protein_coding
Interval_276	IV	1359529	1359809	+	0	NA	promoter-TSS (YDR449C)	protein_coding-promoter-TSS (YDR449C)	-254	YDR450W	YDR450W	YDR450W			RPS18A			protein_coding
Interval_507	VII	481737	481950	+	0	NA	exon (YGL008C, exon 1 of 1)	protein_coding-exon (YGL008C, exon 1 of 1)	823	YGL008C	YGL008C	YGL008C			PMA1			protein_coding
Interval_981	XIII	775268	775817	+	0	NA	TTS (YMR251W-A)	protein_coding-TTS (YMR251W-A)	177	YMR252C	YMR252C	YMR252C			YMR252C			protein_coding
Interval_201	IV	521090	521337	+	0	NA	promoter-TSS (YDR034C-A)	protein_coding-promoter-TSS (YDR034C-A)	-101	YDR034W-B	YDR034W-B	YDR034W-B			YDR034W-B			protein_coding
Interval_978	XIII	768209	768413	+	0	NA	promoter-TSS (YMR247C)	protein_coding-promoter-TSS (YMR247C)	130	tA(AGC)M2	tA(AGC)M2	tA(AGC)M2			tA(AGC)M2			tRNA
Interval_935	XIII	334945	335147	+	0	NA	promoter-TSS (YMR031C)	protein_coding-promoter-TSS (YMR031C)	-252	YMR032W	YMR032W	YMR032W			HOF1			protein_coding
Interval_533	VII	700605	701002	+	0	NA	TTS (tK(UUU)G2)	tRNA-TTS (tK(UUU)G2)	128	tL(GAG)G	tL(GAG)G	tL(GAG)G			tL(GAG)G			tRNA
Interval_753	XI	277987	278940	+	0	NA	promoter-TSS (YKL085W)	protein_coding-promoter-TSS (YKL085W)	182	YKL086W	YKL086W	YKL086W			SRX1			protein_coding
Interval_645	X	74901	75804	+	0	NA	promoter-TSS (YJL189W)	protein_coding-promoter-TSS (YJL189W)	-50	YJL190C	YJL190C	YJL190C			RPS22A			protein_coding
Interval_1234	XVI	551818	552147	+	0	NA	promoter-TSS (YPL003W)	protein_coding-promoter-TSS (YPL003W)	-38	YPL003W	YPL003W	YPL003W			ULA1			protein_coding
Interval_325	IX	215011	215311	+	0	NA	TTS (YIL078W)	protein_coding-TTS (YIL078W)	792	YIL077C	YIL077C	YIL077C			YIL077C			protein_coding
Interval_1060	XIV	631337	632325	+	0	NA	promoter-TSS (YNR001C)	protein_coding-promoter-TSS (YNR001C)	86	tP(AGG)N	tP(AGG)N	tP(AGG)N			SUF10			tRNA
