# HOMER Peaks
# Peak finding parameters:
# tag directory = SPT5_T15_R1_Tagdir
#
# total peaks = 721
# peak size = 97
# peaks found using tags on both strands
# minimum distance between peaks = 194
# fragment length = 78
# genome size = 12130177
# Total tags = 60270.0
# Total tags in peaks = 7475.0
# Approximate IP efficiency = 12.40%
# tags per bp = 0.004917
# expected tags per peak = 0.477
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 7.350817e-07
# FDR tag threshold = 7.0
# number of putative peaks = 762
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 41
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks SPT5_T15_R1_Tagdir -style factor -o SPT5_T15_R1_homer_narrowPeak.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Fold Change vs Local	p-value vs Local	Clonal Fold Change
XIV-37	XIV	602342	602438	+	1244.4	0.680	7.000000	15.95	6.30e-07	0.97
XIV-23	XIV	783799	783895	+	1244.4	0.727	8.500000	26.87	1.98e-08	0.90
XV-66	XV	55289	55385	+	1244.4	0.471	7.500000	16.83	4.44e-07	0.90
XV-60	XV	299278	299374	+	1244.4	0.750	8.000000	13.09	2.27e-06	0.90
XV-61	XV	673865	673961	+	1244.4	0.636	8.000000	12.87	2.53e-06	0.90
XV-47	XV	700937	701033	+	1244.4	0.577	9.500000	34.03	4.02e-09	0.90
XV-72	XV	878144	878240	+	1244.4	0.762	7.500000	8.41	2.39e-05	0.97
XV-62	XV	891781	891877	+	1244.4	0.654	8.000000	34.03	4.02e-09	0.90
XV-58	XV	1039258	1039354	+	1244.4	0.667	8.500000	11.34	5.66e-06	0.90
XVI-45	XVI	24799	24895	+	1244.4	0.727	7.500000	17.40	3.56e-07	0.90
XVI-53	XVI	56140	56236	+	1244.4	0.652	7.000000	25.10	3.13e-08	0.97
XVI-38	XVI	106936	107032	+	1244.4	0.792	8.000000	18.68	2.24e-07	0.90
XVI-46	XVI	135607	135703	+	1244.4	0.737	7.500000	10.01	1.24e-05	0.90
XVI-50	XVI	453453	453549	+	1244.4	0.552	7.500000	7.58	6.84e-05	0.90
XVI-58	XVI	812797	812893	+	1244.4	0.750	7.000000	27.35	1.76e-08	0.97
XVI-37	XVI	942604	942700	+	1244.4	0.750	8.500000	25.10	3.13e-08	0.90
I-6	I	88	184	+	1161.4	0.652	7.500000	23.05	3.49e-08	0.97
I-8	I	229647	229743	+	1161.4	0.737	7.000000	44.67	3.94e-10	0.97
II-47	II	135840	135936	+	1161.4	0.536	7.000000	8.66	1.99e-05	0.97
II-50	II	452262	452358	+	1161.4	0.727	7.000000	16.82	2.83e-07	0.97
II-33	II	555685	555781	+	1161.4	0.750	8.500000	13.23	1.35e-06	0.97
III-10	III	52455	52551	+	1161.4	0.706	7.000000	8.61	2.07e-05	0.97
III-9	III	133512	133608	+	1161.4	0.560	7.500000	8.88	1.71e-05	0.97
IV-72	IV	158814	158910	+	1161.4	0.824	7.500000	22.33	4.31e-08	0.97
IV-66	IV	211203	211299	+	1161.4	0.727	8.000000	14.15	8.77e-07	0.97
IV-73	IV	217338	217434	+	1161.4	0.581	7.500000	10.70	3.80e-05	0.90
IV-67	IV	239958	240054	+	1161.4	0.647	8.000000	12.32	2.15e-06	0.97
IV-68	IV	368975	369071	+	1161.4	0.559	8.000000	8.36	2.48e-05	0.97
IV-85	IV	392550	392646	+	1161.4	0.667	7.000000	17.87	1.90e-07	0.97
IV-76	IV	955418	955514	+	1161.4	0.615	7.500000	11.72	2.97e-06	0.97
IV-77	IV	1005404	1005500	+	1161.4	0.737	7.500000	18.32	1.61e-07	0.97
IV-92	IV	1355681	1355777	+	1161.4	0.778	7.000000	18.56	1.48e-07	0.97
IX-26	IX	175080	175176	+	1161.4	0.889	7.500000	8.36	2.48e-05	0.97
IX-30	IX	222661	222757	+	1161.4	0.882	7.000000	26.47	1.38e-08	0.97
V-44	V	135336	135432	+	1161.4	0.700	7.500000	13.36	1.27e-06	0.97
V-50	V	248288	248384	+	1161.4	0.875	7.000000	20.42	7.84e-08	0.97
V-46	V	270356	270452	+	1161.4	0.593	7.500000	10.21	7.12e-06	0.97
V-47	V	545120	545216	+	1161.4	0.552	7.500000	11.91	2.67e-06	0.97
V-52	V	546611	546707	+	1161.4	0.750	7.000000	10.51	5.93e-06	0.97
V-42	V	559097	559193	+	1161.4	0.565	8.000000	26.47	1.38e-08	0.97
V-53	V	567674	567770	+	1161.4	0.611	7.000000	10.51	5.93e-06	0.97
VII-55	VII	277303	277399	+	1161.4	0.600	8.000000	14.01	9.35e-07	0.97
VII-72	VII	557738	557834	+	1161.4	0.654	7.000000	12.76	1.71e-06	0.97
X-20	X	119935	120031	+	1161.4	0.727	8.500000	8.03	3.17e-05	0.97
X-30	X	224090	224186	+	1161.4	0.696	7.500000	8.12	2.96e-05	0.97
X-36	X	455054	455150	+	1161.4	0.727	7.000000	16.06	3.84e-07	0.97
X-37	X	609149	609245	+	1161.4	0.789	7.000000	19.31	1.13e-07	0.97
XI-31	XI	127192	127288	+	1161.4	0.708	8.000000	19.85	9.45e-08	0.97
XI-33	XI	278852	278948	+	1161.4	0.900	8.000000	14.44	7.70e-07	0.97
XI-35	XI	355858	355954	+	1161.4	0.556	7.500000	10.51	5.93e-06	0.97
XI-39	XI	362275	362371	+	1161.4	0.682	7.000000	19.85	9.45e-08	0.97
XI-41	XI	533626	533722	+	1161.4	0.542	7.000000	15.54	4.77e-07	0.97
XII-58	XII	5736	5832	+	1161.4	0.640	7.000000	79.41	7.52e-12	0.97
XII-45	XII	13756	13852	+	1161.4	0.882	7.500000	16.62	3.06e-07	0.97
XII-61	XII	633474	633570	+	1161.4	0.824	7.000000	25.08	1.98e-08	0.97
XII-52	XII	651067	651163	+	1161.4	0.762	7.500000	26.97	1.22e-08	0.97
XII-42	XII	809311	809407	+	1161.4	0.680	8.000000	13.61	1.13e-06	0.97
XII-56	XII	922205	922301	+	1161.4	0.538	7.500000	8.61	2.07e-05	0.97
XIII-47	XIII	16794	16890	+	1161.4	0.536	8.000000	12.99	1.52e-06	0.97
XIII-52	XIII	101673	101769	+	1161.4	0.833	7.000000	12.54	1.92e-06	0.97
XIII-53	XIII	296869	296965	+	1161.4	0.778	7.000000	31.07	4.67e-09	0.97
XIII-50	XIII	608310	608406	+	1161.4	0.652	8.000000	14.01	9.35e-07	0.97
XIV-24	XIV	112806	112902	+	1161.4	0.444	8.000000	9.40	1.19e-05	0.97
XIV-27	XIV	274177	274273	+	1161.4	0.652	7.500000	10.99	4.45e-06	0.97
XIV-36	XIV	518994	519090	+	1161.4	0.727	7.000000	26.97	1.22e-08	0.97
XIV-38	XIV	675877	675973	+	1161.4	0.778	7.000000	24.64	2.23e-08	0.97
XIV-31	XIV	739295	739391	+	1161.4	0.593	7.500000	12.11	2.40e-06	1.04
XV-67	XV	79884	79980	+	1161.4	0.594	7.500000	8.93	1.64e-05	0.97
XV-78	XV	429982	430078	+	1161.4	0.824	7.000000	16.24	3.56e-07	0.97
XV-80	XV	618580	618676	+	1161.4	0.789	7.000000	10.51	5.93e-06	0.97
XV-53	XV	742350	742446	+	1161.4	0.643	9.000000	15.37	5.12e-07	0.97
XV-73	XV	943463	943559	+	1161.4	0.824	7.500000	30.41	5.40e-09	0.97
XV-82	XV	1039596	1039692	+	1161.4	0.682	7.000000	9.86	8.88e-06	0.97
XV-65	XV	1049222	1049318	+	1161.4	0.696	8.000000	14.29	8.22e-07	0.97
XVI-54	XVI	67132	67228	+	1161.4	0.571	7.000000	18.32	1.61e-07	0.97
XVI-29	XVI	74966	75062	+	1161.4	0.667	9.000000	9.66	1.01e-05	0.97
XVI-47	XVI	264773	264869	+	1161.4	0.789	7.500000	18.81	1.35e-07	0.97
XVI-55	XVI	370703	370799	+	1161.4	0.600	7.000000	14.29	8.22e-07	0.97
XVI-35	XVI	502430	502526	+	1161.4	0.577	8.500000	7.22	6.07e-05	0.97
XVI-51	XVI	520318	520414	+	1161.4	0.593	7.500000	18.09	1.75e-07	0.97
XVI-41	XVI	566931	567027	+	1161.4	0.654	8.000000	31.76	4.02e-09	0.97
XVI-59	XVI	840307	840403	+	1161.4	0.654	7.000000	17.02	2.62e-07	0.97
II-48	II	258100	258196	+	1078.5	0.765	7.000000	27.84	1.12e-07	0.97
II-51	II	501689	501785	+	1078.5	0.722	7.000000	15.99	4.17e-06	0.90
II-34	II	602284	602380	+	1078.5	0.714	8.500000	10.05	5.31e-05	0.90
III-12	III	316360	316456	+	1078.5	0.727	7.000000	25.04	3.28e-07	0.90
IV-81	IV	206	302	+	1078.5	0.882	7.000000	42.81	1.46e-08	0.90
IV-82	IV	130605	130701	+	1078.5	0.680	7.000000	9.90	5.76e-05	0.90
IV-84	IV	357264	357360	+	1078.5	0.682	7.000000	12.89	1.38e-05	0.90
IV-88	IV	512328	512424	+	1078.5	0.762	7.000000	26.54	2.34e-07	0.90
IV-89	IV	694217	694313	+	1078.5	0.619	7.000000	17.70	2.36e-06	0.90
IV-90	IV	811966	812062	+	1078.5	0.652	7.000000	17.46	2.55e-06	0.90
IV-91	IV	992979	993075	+	1078.5	0.625	7.000000	60.33	1.95e-09	0.90
IV-78	IV	1156513	1156609	+	1078.5	0.520	7.500000	28.85	1.45e-07	0.90
IV-80	IV	1289239	1289335	+	1078.5	0.727	7.500000	15.99	4.17e-06	0.90
IV-93	IV	1401546	1401642	+	1078.5	0.696	7.000000	15.61	4.77e-06	0.90
V-43	V	26551	26647	+	1078.5	0.652	7.500000	13.27	1.17e-05	0.90
V-49	V	242240	242336	+	1078.5	0.762	7.000000	12.37	1.11e-05	0.97
VII-69	VII	447	543	+	1078.5	0.750	7.000000	22.12	6.67e-07	0.90
VII-74	VII	753991	754087	+	1078.5	0.577	7.000000	10.13	5.10e-05	0.90
VII-76	VII	1050375	1050471	+	1078.5	0.789	7.000000	15.80	4.46e-06	0.90
VII-77	VII	1052350	1052446	+	1078.5	0.684	7.000000	17.94	2.19e-06	0.90
VIII-33	VIII	143704	143800	+	1078.5	0.714	7.500000	15.43	5.09e-06	0.90
VIII-39	VIII	375078	375174	+	1078.5	0.762	7.500000	9.22	8.44e-05	0.90
VIII-40	VIII	462196	462292	+	1078.5	0.900	7.500000	17.24	2.74e-06	0.90
X-29	X	123215	123311	+	1078.5	0.538	7.500000	9.62	6.73e-05	0.90
XI-38	XI	338923	339019	+	1078.5	0.650	7.000000	14.12	8.34e-06	0.90
XI-36	XI	630541	630637	+	1078.5	0.783	7.500000	16.80	3.16e-06	0.90
XII-46	XII	108379	108475	+	1078.5	0.556	7.500000	16.39	3.64e-06	0.90
XII-47	XII	187333	187429	+	1078.5	0.464	7.500000	15.71	2.95e-06	0.97
XII-59	XII	388483	388579	+	1078.5	0.625	7.000000	9.09	9.08e-05	0.90
XII-60	XII	388844	388940	+	1078.5	0.579	7.000000	9.03	9.41e-05	0.90
XII-39	XII	611839	611935	+	1078.5	0.615	8.000000	17.02	2.95e-06	0.90
XII-40	XII	677744	677840	+	1078.5	0.731	8.000000	13.54	1.05e-05	0.90
XII-54	XII	828480	828576	+	1078.5	0.625	7.500000	9.55	7.00e-05	0.90
XII-63	XII	877744	877840	+	1078.5	0.762	7.000000	12.76	1.46e-05	0.90
XIII-48	XIII	483588	483684	+	1078.5	0.833	8.000000	14.27	7.86e-06	0.90
XIII-57	XIII	886592	886688	+	1078.5	0.583	7.000000	28.24	1.64e-07	0.90
XIV-32	XIV	76664	76760	+	1078.5	0.765	7.000000	22.12	6.67e-07	0.90
XIV-35	XIV	392679	392775	+	1078.5	0.625	7.000000	26.54	2.34e-07	0.90
XIV-30	XIV	578910	579006	+	1078.5	0.684	7.500000	11.44	2.65e-05	0.90
XV-77	XV	288432	288528	+	1078.5	0.571	7.000000	11.15	3.04e-05	0.90
XV-68	XV	316505	316601	+	1078.5	0.800	7.500000	14.58	6.97e-06	0.90
XV-69	XV	586445	586541	+	1078.5	0.789	7.500000	21.41	8.04e-07	0.90
XV-81	XV	1009798	1009894	+	1078.5	0.700	7.000000	17.26	1.73e-06	0.97
XVI-48	XVI	297301	297397	+	1078.5	0.625	7.500000	14.75	6.55e-06	0.90
XVI-56	XVI	404373	404469	+	1078.5	0.682	7.000000	10.88	3.48e-05	0.90
V-40	V	153070	153166	+	995.5	0.591	8.000000	14.25	5.09e-06	0.97
V-51	V	517627	517723	+	995.5	0.750	7.000000	23.56	2.94e-07	0.97
VII-70	VII	67260	67356	+	995.5	0.652	7.000000	21.12	5.49e-07	0.97
VII-71	VII	197382	197478	+	995.5	0.630	7.000000	9.14	5.76e-05	0.97
X-32	X	578710	578806	+	995.5	0.810	7.500000	16.33	2.36e-06	0.97
XI-37	XI	143281	143377	+	995.5	0.682	7.000000	9.80	3.96e-05	0.97
XIII-54	XIII	388126	388222	+	995.5	0.696	7.000000	8.33	9.41e-05	0.97
XIV-33	XIV	217446	217542	+	995.5	0.696	7.000000	14.58	4.46e-06	0.97
XIV-34	XIV	301811	301907	+	995.5	0.519	7.000000	12.37	1.11e-05	0.97
XV-79	XV	487479	487575	+	995.5	0.778	7.000000	17.76	1.48e-06	0.97
XV-70	XV	592644	592740	+	995.5	0.619	7.500000	26.63	1.45e-07	0.97
XVI-57	XVI	627495	627591	+	995.5	0.550	7.000000	17.50	1.60e-06	0.97
